0;nombreobra;tecnica
1;San Sebastián;Óleo sobre lienzo
2;La Anunciación;Óleo y temple sobre tabla
3;Bautismo de Cristo;Óleo sobre tabla
4;El Santo Entierro;Óleo sobre lienzo
5;Crucifixión de San Pedro;Óleo sobre lienzo
6;La Anunciación;Pintura al Óleo
7;La cabeza de Medusa;Óleo sobre lienzo
8;La Libertad guiando al pueblo;Óleo sobre lienzo
9;Maesta di Ognissanti;Panel
10;Polittico di Badia;Tempera sobre panel
11;La consagración de Napoleón;Óleo sobre lienzo
12;Bautismo de Cristo;Óleo sobre tabla
13;La Anunciación;Óleo y temple sobre tabla
14;La Mona Lisa;Pintura al óleo sobre tabla de álamo
15;La transfiguración;Temple y óleo sobre madera
16;Madonna Sixtina;Óleo sobre lienzo
17;Las Gracias;Óleo sobre tabla
18;La primavera;Temple sobre tabla
19;El nacimiento de Venus;Temple sobre lienzo
